%  columns="iteration, evaluation, sigma, max axis length, min axis length, all principal axes lengths (sorted square roots of eigenvalues of C)" (startseed=208119, 2023/05/29 16:1:7.22)
1 17 1.901420e-01 1.011930e+00 9.990071e-01 9.990071e-01 9.990071e-01 9.990071e-01 9.990071e-01 9.990071e-01 9.990071e-01 9.990071e-01 9.990071e-01 9.990071e-01 9.990071e-01 9.990071e-01 9.990071e-01 9.990071e-01 9.990071e-01 9.990071e-01 9.990071e-01 9.990071e-01 9.990071e-01 9.990071e-01 9.990071e-01 9.990071e-01 9.990071e-01 9.990071e-01 9.990071e-01 9.990071e-01 9.990071e-01 9.990071e-01 9.990071e-01 9.990071e-01 9.990071e-01 9.990071e-01 9.990071e-01 9.990071e-01 9.990071e-01 9.990071e-01 9.990071e-01 9.990071e-01 9.990071e-01 9.990071e-01 9.990071e-01 9.990071e-01 9.990071e-01 9.990071e-01 9.990071e-01 9.990071e-01 9.990071e-01 9.990071e-01 9.990071e-01 9.990071e-01 9.990071e-01 9.990071e-01 9.990071e-01 9.990071e-01 9.990071e-01 9.993929e-01 1.000135e+00 1.001102e+00 1.002848e+00 1.004151e+00 1.006524e+00 1.007914e+00 1.011930e+00 
2 33 1.839646e-01 1.017605e+00 9.980152e-01 9.980152e-01 9.980152e-01 9.980152e-01 9.980152e-01 9.980152e-01 9.980152e-01 9.980152e-01 9.980152e-01 9.980152e-01 9.980152e-01 9.980152e-01 9.980152e-01 9.980152e-01 9.980152e-01 9.980152e-01 9.980152e-01 9.980152e-01 9.980152e-01 9.980152e-01 9.980152e-01 9.980152e-01 9.980152e-01 9.980152e-01 9.980152e-01 9.980152e-01 9.980152e-01 9.980152e-01 9.980152e-01 9.980152e-01 9.980152e-01 9.980152e-01 9.980152e-01 9.980152e-01 9.980152e-01 9.980152e-01 9.980152e-01 9.980152e-01 9.980152e-01 9.980152e-01 9.980152e-01 9.980152e-01 9.980152e-01 9.980152e-01 9.980152e-01 9.980152e-01 9.980152e-01 9.982391e-01 9.983960e-01 9.988589e-01 9.989150e-01 9.994973e-01 9.999487e-01 1.000758e+00 1.001496e+00 1.002590e+00 1.002849e+00 1.003401e+00 1.005326e+00 1.007243e+00 1.008371e+00 1.011161e+00 1.017605e+00 
3 49 1.792985e-01 1.024001e+00 9.970243e-01 9.970243e-01 9.970243e-01 9.970243e-01 9.970243e-01 9.970243e-01 9.970243e-01 9.970243e-01 9.970243e-01 9.970243e-01 9.970243e-01 9.970243e-01 9.970243e-01 9.970243e-01 9.970243e-01 9.970243e-01 9.970243e-01 9.970243e-01 9.970243e-01 9.970243e-01 9.970243e-01 9.970243e-01 9.970243e-01 9.970243e-01 9.970243e-01 9.970243e-01 9.970243e-01 9.970243e-01 9.970243e-01 9.970243e-01 9.970243e-01 9.970243e-01 9.970243e-01 9.970243e-01 9.970243e-01 9.970243e-01 9.970243e-01 9.970243e-01 9.970243e-01 9.971783e-01 9.972293e-01 9.974048e-01 9.975108e-01 9.977222e-01 9.979527e-01 9.981054e-01 9.984727e-01 9.987720e-01 9.993079e-01 1.000185e+00 1.000620e+00 1.000935e+00 1.001284e+00 1.002037e+00 1.002114e+00 1.002698e+00 1.004103e+00 1.005858e+00 1.007395e+00 1.009500e+00 1.010911e+00 1.016086e+00 1.024001e+00 
4 65 1.753345e-01 1.027189e+00 9.960343e-01 9.960343e-01 9.960343e-01 9.960343e-01 9.960343e-01 9.960343e-01 9.960343e-01 9.960343e-01 9.960343e-01 9.960343e-01 9.960343e-01 9.960343e-01 9.960343e-01 9.960343e-01 9.960343e-01 9.960343e-01 9.960343e-01 9.960343e-01 9.960343e-01 9.960343e-01 9.960343e-01 9.960343e-01 9.960343e-01 9.960343e-01 9.960343e-01 9.960343e-01 9.960343e-01 9.960343e-01 9.960343e-01 9.960343e-01 9.960343e-01 9.961473e-01 9.961685e-01 9.962151e-01 9.963168e-01 9.963517e-01 9.965797e-01 9.967811e-01 9.968329e-01 9.970203e-01 9.970659e-01 9.972643e-01 9.976855e-01 9.980707e-01 9.985977e-01 9.990333e-01 9.992983e-01 9.997268e-01 9.998712e-01 1.000348e+00 1.001052e+00 1.001283e+00 1.001434e+00 1.003446e+00 1.004501e+00 1.004507e+00 1.006093e+00 1.008624e+00 1.008927e+00 1.010904e+00 1.012226e+00 1.015993e+00 1.027189e+00 
5 81 1.709482e-01 1.030105e+00 9.950454e-01 9.950454e-01 9.950454e-01 9.950454e-01 9.950454e-01 9.950454e-01 9.950454e-01 9.950454e-01 9.950454e-01 9.950454e-01 9.950454e-01 9.950454e-01 9.950454e-01 9.950454e-01 9.950454e-01 9.950454e-01 9.950454e-01 9.950454e-01 9.950454e-01 9.950454e-01 9.950454e-01 9.950454e-01 9.950454e-01 9.951151e-01 9.951404e-01 9.951749e-01 9.951874e-01 9.952397e-01 9.953052e-01 9.954243e-01 9.955603e-01 9.956409e-01 9.957598e-01 9.958736e-01 9.959561e-01 9.962089e-01 9.962547e-01 9.965460e-01 9.968323e-01 9.971821e-01 9.975013e-01 9.976982e-01 9.978294e-01 9.984966e-01 9.986294e-01 9.991276e-01 9.995801e-01 9.998760e-01 1.000488e+00 1.000946e+00 1.001118e+00 1.001349e+00 1.002614e+00 1.003764e+00 1.004534e+00 1.005143e+00 1.005761e+00 1.008152e+00 1.010133e+00 1.011102e+00 1.013072e+00 1.016756e+00 1.030105e+00 
6 97 1.666376e-01 1.034047e+00 9.940574e-01 9.940574e-01 9.940574e-01 9.940574e-01 9.940574e-01 9.940574e-01 9.940574e-01 9.940574e-01 9.940574e-01 9.940574e-01 9.940574e-01 9.940574e-01 9.940574e-01 9.940574e-01 9.940574e-01 9.940773e-01 9.940995e-01 9.941313e-01 9.941639e-01 9.941723e-01 9.942164e-01 9.942455e-01 9.942918e-01 9.943699e-01 9.944689e-01 9.945239e-01 9.945547e-01 9.946461e-01 9.948074e-01 9.949962e-01 9.950356e-01 9.951940e-01 9.952810e-01 9.955123e-01 9.957472e-01 9.958796e-01 9.963721e-01 9.966076e-01 9.967349e-01 9.971423e-01 9.974317e-01 9.976866e-01 9.980537e-01 9.984245e-01 9.985490e-01 9.989376e-01 9.996484e-01 9.996862e-01 1.001051e+00 1.001251e+00 1.002026e+00 1.002526e+00 1.003049e+00 1.004425e+00 1.005084e+00 1.006808e+00 1.007327e+00 1.007539e+00 1.010926e+00 1.012000e+00 1.012598e+00 1.016783e+00 1.034047e+00 
7 113 1.626058e-01 1.037720e+00 9.930704e-01 9.930704e-01 9.930704e-01 9.930704e-01 9.930704e-01 9.930704e-01 9.930704e-01 9.930790e-01 9.930830e-01 9.930956e-01 9.931188e-01 9.931326e-01 9.931495e-01 9.931656e-01 9.932095e-01 9.932318e-01 9.933300e-01 9.933328e-01 9.933932e-01 9.934655e-01 9.934888e-01 9.935708e-01 9.936595e-01 9.937613e-01 9.938621e-01 9.939984e-01 9.940827e-01 9.941354e-01 9.944065e-01 9.945461e-01 9.946100e-01 9.946880e-01 9.949634e-01 9.953218e-01 9.958122e-01 9.958365e-01 9.958880e-01 9.961763e-01 9.964021e-01 9.970935e-01 9.975387e-01 9.979893e-01 9.983418e-01 9.986238e-01 9.988251e-01 9.990897e-01 1.000231e+00 1.000474e+00 1.000894e+00 1.001545e+00 1.001674e+00 1.002666e+00 1.003423e+00 1.004609e+00 1.006046e+00 1.006309e+00 1.007593e+00 1.008588e+00 1.010940e+00 1.012718e+00 1.014499e+00 1.018505e+00 1.037720e+00 
8 129 1.581752e-01 1.042252e+00 9.920867e-01 9.920867e-01 9.920916e-01 9.920987e-01 9.921095e-01 9.921187e-01 9.921386e-01 9.921586e-01 9.921689e-01 9.922083e-01 9.922162e-01 9.922592e-01 9.922629e-01 9.923683e-01 9.924436e-01 9.924591e-01 9.925628e-01 9.925722e-01 9.927050e-01 9.928418e-01 9.928690e-01 9.930004e-01 9.931085e-01 9.931659e-01 9.932048e-01 9.933479e-01 9.935406e-01 9.937091e-01 9.938904e-01 9.940849e-01 9.942092e-01 9.944517e-01 9.947171e-01 9.952565e-01 9.953510e-01 9.956169e-01 9.957192e-01 9.966541e-01 9.967027e-01 9.969248e-01 9.971263e-01 9.976617e-01 9.978989e-01 9.982222e-01 9.986634e-01 9.994197e-01 1.000017e+00 1.000605e+00 1.001648e+00 1.001708e+00 1.002345e+00 1.003323e+00 1.004542e+00 1.004780e+00 1.005954e+00 1.006587e+00 1.007833e+00 1.010757e+00 1.012378e+00 1.014269e+00 1.015315e+00 1.019483e+00 1.042252e+00 
9 145 1.556493e-01 1.046225e+00 9.911300e-01 9.911300e-01 9.911535e-01 9.911681e-01 9.911735e-01 9.912015e-01 9.912311e-01 9.912680e-01 9.913331e-01 9.913493e-01 9.913633e-01 9.913736e-01 9.915211e-01 9.915657e-01 9.916155e-01 9.917146e-01 9.918675e-01 9.919063e-01 9.919795e-01 9.921651e-01 9.922283e-01 9.922962e-01 9.924062e-01 9.926825e-01 9.927835e-01 9.930019e-01 9.930456e-01 9.931913e-01 9.933958e-01 9.934811e-01 9.939186e-01 9.941159e-01 9.944604e-01 9.946305e-01 9.948091e-01 9.953668e-01 9.957324e-01 9.959966e-01 9.965599e-01 9.970185e-01 9.972122e-01 9.972854e-01 9.976708e-01 9.978929e-01 9.986651e-01 9.994691e-01 9.996478e-01 1.000275e+00 1.001159e+00 1.002134e+00 1.002502e+00 1.003745e+00 1.004628e+00 1.005099e+00 1.006384e+00 1.007889e+00 1.008873e+00 1.010488e+00 1.011776e+00 1.015195e+00 1.016055e+00 1.023447e+00 1.046225e+00 
10 161 1.523572e-01 1.049432e+00 9.901762e-01 9.901762e-01 9.902248e-01 9.902338e-01 9.902830e-01 9.903204e-01 9.903401e-01 9.903821e-01 9.904443e-01 9.905076e-01 9.905663e-01 9.906350e-01 9.907412e-01 9.908534e-01 9.909289e-01 9.909793e-01 9.911105e-01 9.912543e-01 9.913676e-01 9.914465e-01 9.916111e-01 9.917572e-01 9.919892e-01 9.920643e-01 9.921416e-01 9.923395e-01 9.925438e-01 9.926894e-01 9.928085e-01 9.932328e-01 9.932831e-01 9.935623e-01 9.939685e-01 9.943840e-01 9.947571e-01 9.949957e-01 9.953904e-01 9.957997e-01 9.963957e-01 9.964593e-01 9.967219e-01 9.969467e-01 9.979351e-01 9.985493e-01 9.986792e-01 9.990432e-01 9.998331e-01 1.000227e+00 1.000707e+00 1.002337e+00 1.003501e+00 1.004295e+00 1.004924e+00 1.005850e+00 1.006948e+00 1.007697e+00 1.010118e+00 1.010567e+00 1.011464e+00 1.014612e+00 1.016891e+00 1.024775e+00 1.049432e+00 
