%  columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst fitness function value, further objective values of best" (startseed=208119, 2023/05/29 16:1:7.22)
1 17 1.901420e-01 1.012936e+00  2.009932000000000000e+06  2.013484000000000000e+06  2.300380500000000000e+06  2.491070000000000000e+06
2 33 1.839646e-01 1.019629e+00  1.881440000000000000e+06  1.881440000000000000e+06  2.288968000000000000e+06  2.484227000000000000e+06
3 49 1.792985e-01 1.027057e+00  1.881440000000000000e+06  1.977529000000000000e+06  2.191716000000000000e+06  2.446688000000000000e+06
4 65 1.753345e-01 1.031279e+00  1.799557000000000000e+06  1.799557000000000000e+06  2.222168000000000000e+06  2.477727000000000000e+06
5 81 1.709482e-01 1.035234e+00  1.799557000000000000e+06  2.017055000000000000e+06  2.295508000000000000e+06  2.500727000000000000e+06
6 97 1.666376e-01 1.040229e+00  1.799557000000000000e+06  2.030209000000000000e+06  2.263087500000000000e+06  2.521023000000000000e+06
7 113 1.626058e-01 1.044961e+00  1.799557000000000000e+06  2.045578000000000000e+06  2.258800000000000000e+06  2.487338000000000000e+06
8 129 1.581752e-01 1.050565e+00  1.347902000000000000e+06  1.347902000000000000e+06  2.278448500000000000e+06  2.390817000000000000e+06
9 145 1.556493e-01 1.055588e+00  1.347902000000000000e+06  1.883677000000000000e+06  2.339205000000000000e+06  2.561347000000000000e+06
10 161 1.523572e-01 1.059843e+00  1.347902000000000000e+06  1.973053000000000000e+06  2.185675000000000000e+06  2.565633000000000000e+06
11 177 1.499324e-01 1.065125e+00  1.347902000000000000e+06  1.872914000000000000e+06  2.215645000000000000e+06  2.380560000000000000e+06
12 193 1.490547e-01 1.071011e+00  1.347902000000000000e+06  1.734972000000000000e+06  2.152387500000000000e+06  2.427290000000000000e+06
13 209 1.476734e-01 1.077056e+00  1.347902000000000000e+06  1.895475000000000000e+06  2.144205000000000000e+06  2.460663000000000000e+06
14 225 1.458438e-01 1.083100e+00  1.347902000000000000e+06  2.054934000000000000e+06  2.244006500000000000e+06  2.566052000000000000e+06
15 241 1.436076e-01 1.087745e+00  1.347902000000000000e+06  2.054814000000000000e+06  2.233973500000000000e+06  2.506002000000000000e+06
16 257 1.402668e-01 1.093390e+00  1.347902000000000000e+06  2.014057000000000000e+06  2.268639500000000000e+06  2.500524000000000000e+06
17 273 1.384502e-01 1.096524e+00  1.347902000000000000e+06  1.515849000000000000e+06  2.169110000000000000e+06  2.351340000000000000e+06
