%  columns="iteration, evaluation, fitness, void, void, xrecentbest" (startseed=208119, 2023/05/29 16:1:7.22)
1 17  2.013484000000000000e+06 0 0 7.448986e-01 1.824383e-01 7.837507e-01 1.773054e-01 -1.710473e-01 5.996763e-01 9.576252e-01 -2.815500e-02 4.171918e-01 5.197145e-01 1.117898e+00 1.064340e-01 3.952896e-01 7.739105e-01 1.102236e+00 7.304149e-01 1.861415e-01 6.501840e-01 1.925274e-01 9.686161e-01 7.458932e-01 6.211354e-01 -1.080676e-01 6.201581e-02 7.700639e-01 8.056503e-02 8.357082e-01 3.116698e-01 1.861166e-01 1.312232e+00 6.944721e-01 4.964248e-01 8.016816e-01 -4.182583e-02 1.145897e+00 1.095166e-01 1.109658e+00 1.066543e+00 8.074679e-01 3.676766e-01 8.844169e-01 1.170898e+00 1.774108e-01 1.037926e+00 7.965243e-01 4.389719e-02 4.641885e-01 2.164270e-01 8.429250e-01 2.589663e-01 3.911413e-02 9.646512e-01 -1.521937e-01 7.656385e-01 9.662025e-01 9.104826e-02 -3.827125e-02 3.595258e-01 3.468243e-01 1.129023e+00 8.122477e-01 1.131345e+00 
2 33  1.881440000000000000e+06 0 0 5.628850e-01 5.028483e-01 7.789941e-01 1.829111e-01 1.254331e-01 5.355179e-01 1.426393e+00 -1.612547e-01 4.872280e-01 8.445337e-01 1.309882e+00 -1.660117e-01 4.308246e-01 5.813117e-01 7.789161e-01 8.821367e-01 3.078922e-01 8.408917e-01 3.891335e-01 9.452584e-01 7.269120e-01 5.647834e-01 -3.180842e-02 2.010725e-01 7.305758e-01 2.839095e-01 1.113001e+00 4.371279e-01 1.859513e-01 1.427974e+00 4.995885e-01 7.917335e-01 8.457126e-01 2.340582e-01 1.142190e+00 -2.023824e-01 9.290210e-01 9.062326e-01 7.504400e-01 -2.424378e-02 7.472121e-01 1.041929e+00 -1.551020e-01 9.403999e-01 6.513884e-01 3.652835e-02 6.024076e-01 3.338951e-01 7.084014e-01 3.714975e-01 4.154866e-02 9.391208e-01 -1.099280e-02 1.030368e+00 6.739664e-01 -1.013145e-01 4.288294e-01 7.451843e-02 4.568922e-01 1.294542e+00 4.410588e-01 1.218060e+00 
3 49  1.977529000000000000e+06 0 0 5.935290e-01 4.060468e-01 9.515200e-01 1.242666e-01 -7.960148e-02 2.274771e-01 1.036122e+00 1.184789e-01 5.007533e-01 6.365574e-01 1.329570e+00 -8.032499e-02 3.546903e-01 4.113828e-01 1.293094e+00 4.053260e-01 4.715150e-02 1.148069e+00 1.114742e-01 7.886458e-01 7.921155e-01 5.192246e-01 -1.556125e-01 1.439312e-01 5.609228e-01 2.643931e-01 1.429724e+00 1.361630e-01 1.410204e-01 1.682660e+00 8.690892e-01 6.902618e-01 7.157176e-01 2.234309e-01 1.244377e+00 -1.995040e-01 9.999568e-01 8.939851e-01 1.024386e+00 3.045697e-01 8.797501e-01 9.698279e-01 8.518961e-02 9.016944e-01 8.778555e-01 -2.972540e-02 6.559762e-01 4.597740e-01 1.035731e+00 6.208118e-01 1.697504e-01 9.337840e-01 -1.179016e-01 8.047855e-01 6.130029e-01 -3.377411e-01 4.286119e-01 7.606642e-02 9.159769e-01 1.235845e+00 6.122793e-01 1.508252e+00 
4 65  1.799557000000000000e+06 0 0 6.603203e-01 3.521357e-01 8.762779e-01 -1.569544e-01 -2.823674e-01 3.887208e-01 9.259916e-01 2.732697e-02 4.784239e-01 8.074445e-01 1.094274e+00 8.781633e-02 2.339936e-01 2.002616e-01 9.339025e-01 9.361959e-01 1.029065e-01 7.722051e-01 -2.077250e-01 1.019441e+00 7.818012e-01 3.976370e-01 -5.060572e-02 2.061292e-02 1.289522e+00 3.296735e-01 1.199907e+00 3.730973e-01 2.112176e-01 1.325319e+00 6.498131e-01 9.675544e-01 8.616611e-01 -3.642935e-02 6.483932e-01 9.847979e-03 1.200693e+00 8.905904e-01 1.321892e+00 3.678407e-01 1.049568e+00 9.774039e-01 -2.885208e-02 7.903075e-01 6.681810e-01 3.477071e-02 6.271783e-01 1.565577e-01 8.991972e-01 4.558557e-01 9.894477e-02 1.118256e+00 7.366782e-02 6.482754e-01 4.824215e-01 3.020500e-02 -7.146110e-02 1.239464e-01 4.149701e-01 1.154884e+00 4.747494e-01 1.236482e+00 
5 81  2.017055000000000000e+06 0 0 8.416491e-01 2.843491e-01 8.717927e-01 2.017913e-01 -2.517561e-01 3.683083e-01 1.199385e+00 -1.650544e-01 6.124545e-01 8.287418e-01 1.203729e+00 -1.383742e-01 3.264689e-01 6.508501e-01 9.949739e-01 6.542406e-01 6.761875e-03 8.304088e-01 -8.935565e-02 1.027289e+00 6.285008e-01 6.180865e-01 -4.537490e-02 -1.611285e-02 7.149477e-01 1.614854e-01 1.139749e+00 3.808539e-01 4.383234e-01 1.303958e+00 1.000803e+00 8.758262e-01 1.273184e+00 4.568339e-02 8.055537e-01 -3.105818e-01 6.429511e-01 1.082478e+00 9.483917e-01 4.463269e-01 1.050119e+00 1.137104e+00 3.656608e-01 1.141634e+00 8.845101e-01 1.987099e-01 6.574941e-01 2.885927e-01 9.011212e-01 2.552575e-01 1.225695e-01 8.174536e-01 -1.298719e-01 8.452450e-01 4.029112e-01 -8.442386e-02 2.922972e-01 -2.183341e-01 5.538951e-01 1.087049e+00 3.458093e-01 1.048066e+00 
6 97  2.030209000000000000e+06 0 0 6.157280e-01 7.322059e-02 7.722350e-01 1.270512e-01 -4.860314e-01 5.337649e-01 8.172345e-01 -2.597467e-01 5.498387e-01 4.399634e-01 1.089879e+00 -1.019302e-01 2.368926e-02 6.193817e-01 1.208515e+00 9.258449e-01 1.474129e-01 7.809504e-01 3.877282e-02 9.541712e-01 7.075616e-01 2.705298e-02 1.311145e-01 -9.286999e-02 8.162707e-01 2.894709e-02 1.469168e+00 4.616619e-01 3.010741e-01 1.596980e+00 8.793782e-01 1.128842e+00 8.014874e-01 -2.181557e-02 1.074650e+00 -3.712382e-01 8.208007e-01 7.757681e-01 9.336782e-01 4.740533e-01 9.065473e-01 1.145867e+00 4.806237e-01 1.181440e+00 6.707674e-01 6.327606e-02 5.658769e-01 1.182070e-01 9.185088e-01 6.576470e-01 4.255769e-02 9.347261e-01 -2.314605e-02 5.034727e-01 4.424514e-01 -1.836155e-01 7.046208e-02 -2.887325e-01 3.657712e-01 1.064914e+00 5.896174e-01 1.410974e+00 
7 113  2.045578000000000000e+06 0 0 6.945253e-01 2.123164e-01 8.340398e-01 9.314910e-02 -3.074736e-01 4.942530e-01 1.233206e+00 -3.320334e-01 3.255318e-01 7.087372e-01 9.217821e-01 -2.738600e-01 3.803195e-01 8.067140e-01 1.155362e+00 7.030516e-01 4.946076e-01 7.523639e-01 4.034075e-02 1.148164e+00 3.922938e-01 7.352342e-01 -3.688911e-01 3.169156e-01 1.049369e+00 7.819433e-02 1.502197e+00 2.946655e-01 4.125161e-01 1.494630e+00 4.678793e-01 8.889579e-01 8.274850e-01 2.552524e-01 9.165330e-01 -3.019177e-01 7.966365e-01 7.611019e-01 1.001327e+00 3.536803e-01 1.125997e+00 1.165606e+00 5.289081e-02 9.748345e-01 7.977580e-01 2.090459e-01 6.426818e-01 7.776046e-02 7.898456e-01 2.747410e-01 2.706651e-01 7.829974e-01 -7.397796e-02 7.024526e-01 3.596409e-01 4.326907e-02 3.046671e-01 7.515049e-02 4.762282e-01 9.700532e-01 3.465876e-01 1.408891e+00 
8 129  1.347902000000000000e+06 0 0 7.560491e-01 5.324222e-04 8.286292e-01 -7.358033e-03 -3.717631e-02 1.051568e+00 9.432221e-01 -2.076027e-01 4.889064e-01 3.327318e-01 1.301107e+00 -3.435509e-01 1.921615e-01 6.459000e-01 1.163414e+00 8.380952e-01 3.117215e-01 7.712373e-01 2.239775e-01 8.950906e-01 7.573425e-01 5.875562e-01 -1.470031e-01 -3.117089e-02 7.491945e-01 3.615674e-01 1.141135e+00 2.516250e-01 2.766798e-01 1.360133e+00 7.154828e-01 8.103929e-01 9.423395e-01 -3.076466e-01 6.356334e-01 -3.089509e-01 1.124898e+00 9.420565e-01 1.199069e+00 3.184412e-01 1.050252e+00 9.472430e-01 2.630877e-01 1.163817e+00 6.575872e-01 3.555429e-01 5.421827e-01 2.035979e-01 4.345980e-01 5.077190e-01 6.610621e-02 9.717489e-01 -1.999210e-01 6.140615e-01 4.536611e-01 -6.155315e-02 -7.238790e-02 2.398446e-01 3.813105e-01 1.291091e+00 5.686186e-01 1.286709e+00 
9 145  1.883677000000000000e+06 0 0 5.732388e-01 3.862003e-01 9.027436e-01 4.775859e-01 -1.513559e-01 6.905385e-01 1.278352e+00 -2.057148e-01 1.356620e-01 5.383166e-01 9.141486e-01 -4.335100e-01 2.405831e-01 4.510360e-01 1.407252e+00 6.053310e-01 2.906877e-01 8.965214e-01 1.224121e-01 7.054592e-01 6.143564e-01 4.929131e-01 -2.754268e-01 1.110249e-01 5.513947e-01 1.911134e-01 1.615303e+00 4.339405e-01 4.272349e-01 1.506993e+00 1.003138e+00 9.265104e-01 6.341632e-01 9.212861e-02 7.447997e-01 -4.510027e-01 1.252308e+00 9.533897e-01 1.194453e+00 4.779490e-01 1.153536e+00 1.081701e+00 2.964924e-01 1.057446e+00 5.171572e-01 1.597778e-01 5.526686e-01 2.435379e-01 4.422300e-01 4.082850e-01 2.702963e-01 8.270201e-01 -1.620965e-01 6.820139e-01 4.652114e-01 -4.043077e-01 9.377852e-02 2.058925e-01 2.663361e-01 1.103386e+00 2.784011e-01 1.449867e+00 
10 161  1.973053000000000000e+06 0 0 7.377330e-01 2.491284e-01 9.788536e-01 3.214527e-01 -3.611647e-01 9.208665e-01 1.449576e+00 -2.690997e-01 1.143681e-01 4.179492e-01 1.107712e+00 -3.155066e-01 7.973025e-02 7.045550e-01 1.323850e+00 7.177233e-01 2.945117e-01 8.981456e-01 2.373124e-01 9.850401e-01 6.555221e-01 3.060911e-01 -2.840787e-01 3.381045e-01 1.009252e+00 2.764421e-01 1.088315e+00 2.765713e-01 3.435342e-01 1.680590e+00 6.970631e-01 7.875867e-01 1.074788e+00 -6.298872e-01 8.703832e-01 -6.897553e-01 1.052987e+00 9.232622e-01 1.120003e+00 3.031394e-01 9.452400e-01 1.104641e+00 1.583581e-01 8.909789e-01 6.655754e-01 -3.981973e-02 5.851899e-01 -2.345127e-02 4.858203e-01 4.506801e-01 1.586492e-01 9.406518e-01 -7.201587e-02 6.662968e-01 3.110566e-01 -2.850354e-01 -6.441103e-02 3.395760e-01 5.023044e-01 1.311863e+00 1.677799e-01 1.498060e+00 
