%  columns=["iteration, evaluation, sigma, void, void, stds==sigma*sqrt(diag(C))" (startseed=208119, 2023/05/29 16:1:7.22)
1 17 1.901420e-01 0 0 1.900164e-01 1.902630e-01 1.900915e-01 1.900752e-01 1.902548e-01 1.900826e-01 1.899770e-01 1.899905e-01 1.900324e-01 1.901175e-01 1.902164e-01 1.901340e-01 1.900075e-01 1.900913e-01 1.900866e-01 1.900222e-01 1.900814e-01 1.900669e-01 1.900427e-01 1.900615e-01 1.901537e-01 1.900649e-01 1.902211e-01 1.900655e-01 1.900485e-01 1.899784e-01 1.900238e-01 1.901343e-01 1.901083e-01 1.901448e-01 1.900545e-01 1.900955e-01 1.901544e-01 1.900122e-01 1.900012e-01 1.901115e-01 1.900181e-01 1.899831e-01 1.900683e-01 1.900331e-01 1.900315e-01 1.901751e-01 1.899911e-01 1.902597e-01 1.900318e-01 1.900092e-01 1.900323e-01 1.899960e-01 1.901811e-01 1.900535e-01 1.901024e-01 1.900369e-01 1.900833e-01 1.900082e-01 1.901267e-01 1.899855e-01 1.900785e-01 1.901030e-01 1.900693e-01 1.900097e-01 1.902774e-01 1.902750e-01 
2 33 1.839646e-01 0 0 1.837293e-01 1.840992e-01 1.838003e-01 1.838013e-01 1.839779e-01 1.839128e-01 1.839371e-01 1.837259e-01 1.837389e-01 1.839221e-01 1.839810e-01 1.839757e-01 1.838257e-01 1.838365e-01 1.838167e-01 1.838103e-01 1.837873e-01 1.838368e-01 1.839556e-01 1.838194e-01 1.839927e-01 1.837746e-01 1.839707e-01 1.838024e-01 1.837714e-01 1.837863e-01 1.838272e-01 1.839006e-01 1.838846e-01 1.839680e-01 1.838363e-01 1.839834e-01 1.839269e-01 1.837666e-01 1.836999e-01 1.839624e-01 1.837254e-01 1.836907e-01 1.838495e-01 1.841738e-01 1.838352e-01 1.838762e-01 1.837486e-01 1.840221e-01 1.838720e-01 1.837174e-01 1.837597e-01 1.837711e-01 1.838772e-01 1.838081e-01 1.838697e-01 1.838929e-01 1.837696e-01 1.837619e-01 1.838925e-01 1.837584e-01 1.839250e-01 1.838323e-01 1.837736e-01 1.838132e-01 1.839575e-01 1.840180e-01 
3 49 1.792985e-01 0 0 1.789514e-01 1.793937e-01 1.790931e-01 1.790444e-01 1.792582e-01 1.795234e-01 1.791366e-01 1.790628e-01 1.789760e-01 1.792488e-01 1.792068e-01 1.791951e-01 1.790479e-01 1.790699e-01 1.792786e-01 1.791541e-01 1.792850e-01 1.792037e-01 1.791325e-01 1.790677e-01 1.792470e-01 1.789973e-01 1.792371e-01 1.790097e-01 1.793368e-01 1.789995e-01 1.794288e-01 1.792317e-01 1.791220e-01 1.794035e-01 1.791853e-01 1.792703e-01 1.792125e-01 1.790014e-01 1.789479e-01 1.792448e-01 1.794575e-01 1.789244e-01 1.790797e-01 1.794706e-01 1.791972e-01 1.792177e-01 1.790106e-01 1.792497e-01 1.791530e-01 1.789905e-01 1.790951e-01 1.790465e-01 1.792531e-01 1.790574e-01 1.790973e-01 1.791281e-01 1.789869e-01 1.790426e-01 1.793213e-01 1.790848e-01 1.792190e-01 1.791076e-01 1.793053e-01 1.790445e-01 1.791994e-01 1.795003e-01 
4 65 1.753345e-01 0 0 1.749002e-01 1.754948e-01 1.749776e-01 1.750253e-01 1.752658e-01 1.755291e-01 1.750728e-01 1.749708e-01 1.749753e-01 1.753055e-01 1.751790e-01 1.751394e-01 1.750326e-01 1.751603e-01 1.752822e-01 1.751841e-01 1.753605e-01 1.751209e-01 1.752648e-01 1.750460e-01 1.752005e-01 1.749563e-01 1.752197e-01 1.749817e-01 1.757734e-01 1.750021e-01 1.754063e-01 1.752225e-01 1.750404e-01 1.754305e-01 1.753600e-01 1.752639e-01 1.751442e-01 1.752322e-01 1.751254e-01 1.751543e-01 1.756999e-01 1.748436e-01 1.751764e-01 1.754358e-01 1.752178e-01 1.752592e-01 1.749200e-01 1.752714e-01 1.751176e-01 1.749037e-01 1.751691e-01 1.749921e-01 1.752285e-01 1.749760e-01 1.750242e-01 1.751487e-01 1.749122e-01 1.749566e-01 1.754970e-01 1.750773e-01 1.752805e-01 1.750861e-01 1.752282e-01 1.749906e-01 1.752154e-01 1.754207e-01 
5 81 1.709482e-01 0 0 1.704390e-01 1.709879e-01 1.705275e-01 1.706493e-01 1.708349e-01 1.710586e-01 1.706495e-01 1.705192e-01 1.704996e-01 1.708566e-01 1.706623e-01 1.706768e-01 1.705715e-01 1.706918e-01 1.708796e-01 1.706662e-01 1.710200e-01 1.706203e-01 1.708580e-01 1.705939e-01 1.707957e-01 1.705401e-01 1.706928e-01 1.705621e-01 1.713996e-01 1.705097e-01 1.709139e-01 1.707899e-01 1.707885e-01 1.709892e-01 1.709796e-01 1.707673e-01 1.709171e-01 1.707412e-01 1.706318e-01 1.707486e-01 1.713091e-01 1.703830e-01 1.708321e-01 1.710849e-01 1.707131e-01 1.708386e-01 1.706111e-01 1.707967e-01 1.707560e-01 1.704392e-01 1.707331e-01 1.704923e-01 1.707707e-01 1.705511e-01 1.704980e-01 1.707747e-01 1.704189e-01 1.704784e-01 1.711403e-01 1.706086e-01 1.708483e-01 1.706826e-01 1.708122e-01 1.704647e-01 1.707900e-01 1.710077e-01 
6 97 1.666376e-01 0 0 1.660533e-01 1.666048e-01 1.661160e-01 1.662357e-01 1.665059e-01 1.667364e-01 1.663372e-01 1.661939e-01 1.661271e-01 1.666038e-01 1.662630e-01 1.663281e-01 1.662509e-01 1.662661e-01 1.665152e-01 1.662736e-01 1.665964e-01 1.661991e-01 1.664357e-01 1.663561e-01 1.664239e-01 1.663848e-01 1.662762e-01 1.662026e-01 1.670124e-01 1.661934e-01 1.666699e-01 1.663909e-01 1.665042e-01 1.666821e-01 1.666193e-01 1.664682e-01 1.666305e-01 1.663353e-01 1.662627e-01 1.663817e-01 1.668862e-01 1.661079e-01 1.664328e-01 1.666484e-01 1.662998e-01 1.664533e-01 1.662787e-01 1.665359e-01 1.664697e-01 1.660934e-01 1.663424e-01 1.660775e-01 1.664864e-01 1.663081e-01 1.660764e-01 1.664028e-01 1.660930e-01 1.661704e-01 1.669161e-01 1.662550e-01 1.664400e-01 1.663885e-01 1.664011e-01 1.661720e-01 1.664862e-01 1.667795e-01 
7 113 1.626058e-01 0 0 1.618885e-01 1.625121e-01 1.621089e-01 1.623301e-01 1.623981e-01 1.628431e-01 1.622544e-01 1.621115e-01 1.620580e-01 1.624545e-01 1.622207e-01 1.623777e-01 1.622113e-01 1.622894e-01 1.625021e-01 1.621806e-01 1.625613e-01 1.622905e-01 1.623527e-01 1.622340e-01 1.623949e-01 1.623418e-01 1.622426e-01 1.621310e-01 1.629256e-01 1.621636e-01 1.626254e-01 1.622842e-01 1.626094e-01 1.626240e-01 1.625979e-01 1.623556e-01 1.625354e-01 1.622639e-01 1.621284e-01 1.624492e-01 1.627759e-01 1.620646e-01 1.623745e-01 1.625874e-01 1.623402e-01 1.623597e-01 1.621521e-01 1.624476e-01 1.623177e-01 1.619588e-01 1.623382e-01 1.619662e-01 1.623954e-01 1.621615e-01 1.619457e-01 1.623868e-01 1.620081e-01 1.621311e-01 1.628776e-01 1.621715e-01 1.622755e-01 1.622371e-01 1.623956e-01 1.621214e-01 1.623585e-01 1.628426e-01 
8 129 1.581752e-01 0 0 1.573494e-01 1.580318e-01 1.577831e-01 1.580680e-01 1.579984e-01 1.586515e-01 1.577243e-01 1.576120e-01 1.575913e-01 1.581359e-01 1.579021e-01 1.578856e-01 1.577273e-01 1.578358e-01 1.580012e-01 1.577306e-01 1.580929e-01 1.577921e-01 1.578587e-01 1.578278e-01 1.580107e-01 1.578545e-01 1.577200e-01 1.577751e-01 1.585153e-01 1.577903e-01 1.582123e-01 1.578441e-01 1.580629e-01 1.581894e-01 1.580875e-01 1.578779e-01 1.580375e-01 1.578313e-01 1.577812e-01 1.579405e-01 1.583359e-01 1.575326e-01 1.578510e-01 1.581589e-01 1.578746e-01 1.578439e-01 1.576130e-01 1.581549e-01 1.578513e-01 1.575375e-01 1.578052e-01 1.575041e-01 1.580614e-01 1.576540e-01 1.574339e-01 1.578647e-01 1.576019e-01 1.577189e-01 1.584462e-01 1.576412e-01 1.579217e-01 1.577614e-01 1.578927e-01 1.576435e-01 1.580336e-01 1.583467e-01 
9 145 1.556493e-01 0 0 1.547923e-01 1.554745e-01 1.551956e-01 1.556905e-01 1.553841e-01 1.560000e-01 1.552679e-01 1.550513e-01 1.552372e-01 1.555023e-01 1.553726e-01 1.553978e-01 1.552584e-01 1.552492e-01 1.555323e-01 1.551664e-01 1.554643e-01 1.553106e-01 1.552102e-01 1.552694e-01 1.554340e-01 1.552362e-01 1.551832e-01 1.551097e-01 1.559752e-01 1.552432e-01 1.559052e-01 1.552218e-01 1.555046e-01 1.556552e-01 1.556174e-01 1.552486e-01 1.555494e-01 1.552759e-01 1.551802e-01 1.554228e-01 1.557882e-01 1.549782e-01 1.552363e-01 1.555259e-01 1.552549e-01 1.552059e-01 1.550487e-01 1.555248e-01 1.553283e-01 1.550034e-01 1.551603e-01 1.549181e-01 1.556279e-01 1.550349e-01 1.548183e-01 1.553271e-01 1.550814e-01 1.550880e-01 1.560165e-01 1.551611e-01 1.553019e-01 1.551813e-01 1.552793e-01 1.551786e-01 1.554282e-01 1.558092e-01 
10 161 1.523572e-01 0 0 1.515406e-01 1.521428e-01 1.518010e-01 1.524366e-01 1.520468e-01 1.526292e-01 1.519536e-01 1.516749e-01 1.519147e-01 1.521994e-01 1.520410e-01 1.520571e-01 1.519575e-01 1.518957e-01 1.522331e-01 1.517927e-01 1.521565e-01 1.521441e-01 1.518443e-01 1.519866e-01 1.520536e-01 1.518901e-01 1.517953e-01 1.518388e-01 1.526838e-01 1.519470e-01 1.526181e-01 1.518829e-01 1.521480e-01 1.523336e-01 1.523112e-01 1.519283e-01 1.521645e-01 1.521328e-01 1.518975e-01 1.522001e-01 1.524031e-01 1.517035e-01 1.518575e-01 1.522489e-01 1.518550e-01 1.518306e-01 1.516616e-01 1.521712e-01 1.519885e-01 1.516700e-01 1.518066e-01 1.516167e-01 1.522751e-01 1.517473e-01 1.514438e-01 1.520036e-01 1.517577e-01 1.517616e-01 1.526795e-01 1.519083e-01 1.519717e-01 1.518283e-01 1.519604e-01 1.517887e-01 1.521246e-01 1.524946e-01 
